freq,hatchitm,animals,unit,geo\TIME_PERIOD	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 	2026-01 	2026-02 	2026-03
M,CU,A5130M,THS,AT	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
M,CU,A5130M,THS,BA	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 	:
M,CU,A5130M,THS,BE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
M,CU,A5130M,THS,BG	: @C	: @C	: @C	: @C	: @C	: @C	0 	0 	: @C	131.92
M,CU,A5130M,THS,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
M,CU,A5130M,THS,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
M,CU,A5130M,THS,DE	0 p	0 p	0 p	0 p	0 p	0 p	0 p	0 p	0 p	0 p
M,CU,A5130M,THS,DK	0 	0 	0 	0 	0 	0 	0 	0 p	0 p	0 p
M,CU,A5130O,THS,AT	1040.69 	1057.26 	555.34 	1058.12 	1086.34 	479.75 	812.75 	1352.53 	1083.46 	1046.62
M,CU,A5130O,THS,BE	522.94 	671.76 	573.54 	488.88 	437.11 	431.83 	688.36 	539.98 	446.11 	580.88
M,CU,A5130O,THS,DE	2431.67 p	1523.29 p	1596.75 p	2085.37 p	1734.88 p	1018.42 p	2081.46 p	2182.46 p	1951.78 p	1952.09 p
M,CU,A5130P,THS,AT	7413.7 	9192.98 	7489.37 	7512.86 	9247.27 	7171.35 	7239.53 	9716.34 	7488.69 	7956.05
M,CU,A5130P,THS,BE	21986.63 	27608.02 	24228.37 	24337.83 	27201.41 	19566.61 	27663.95 	25593.56 	22756.89 	26036.51
M,CU,A5130P,THS,DE	57011.41 p	58968.15 p	55915.91 p	57915.53 p	59996.46 p	49093.74 p	63319.92 p	58413.8 p	51515.56 p	59292.98 p
